date,epiweek,year,cases,geography
3/7/20,9,2020,1,New York
3/14/20,10,2020,105,New York
3/21/20,11,2020,626,New York
3/28/20,12,2020,14456,New York
4/4/20,13,2020,44595,New York
4/11/20,14,2020,64302,New York
4/18/20,15,2020,67340,New York
4/25/20,16,2020,55316,New York
5/2/20,17,2020,46173,New York
5/9/20,18,2020,28919,New York
5/16/20,19,2020,18824,New York
5/23/20,20,2020,14380,New York
5/30/20,21,2020,11309,New York
6/6/20,22,2020,9229,New York
6/13/20,23,2020,7304,New York
6/20/20,24,2020,5217,New York
6/27/20,25,2020,4606,New York
7/4/20,26,2020,4591,New York
7/11/20,27,2020,4529,New York
7/18/20,28,2020,4581,New York
7/25/20,29,2020,5112,New York
8/1/20,30,2020,4928,New York
8/8/20,31,2020,4565,New York
8/15/20,32,2020,4560,New York
8/22/20,33,2020,4658,New York
8/29/20,34,2020,4236,New York
9/5/20,35,2020,4369,New York
9/12/20,36,2020,5395,New York
9/19/20,37,2020,4846,New York
9/26/20,38,2020,5540,New York
10/3/20,39,2020,5728,New York
10/10/20,40,2020,8967,New York
10/17/20,41,2020,9706,New York
10/24/20,42,2020,10003,New York
10/31/20,43,2020,11185,New York
11/7/20,44,2020,14281,New York
11/14/20,45,2020,19302,New York
11/21/20,46,2020,31168,New York
11/28/20,47,2020,36015,New York
12/5/20,48,2020,44965,New York
12/12/20,49,2020,64680,New York
12/19/20,50,2020,70219,New York
12/26/20,51,2020,70569,New York
1/2/21,52,2020,76976,New York
1/9/21,53,2020,50664,New York
1/9/21,1,2021,111695,New York
1/16/21,2,2021,106969,New York
1/23/21,3,2021,93134,New York
1/30/21,4,2021,84212,New York
2/6/21,5,2021,60317,New York
2/13/21,6,2021,59646,New York
2/20/21,7,2021,51802,New York
2/27/21,8,2021,52195,New York
3/6/21,9,2021,50784,New York
3/13/21,10,2021,46712,New York
3/20/21,11,2021,41406,New York
3/27/21,12,2021,66164,New York
4/3/21,13,2021,54951,New York
4/10/21,14,2021,50668,New York
4/17/21,15,2021,42067,New York
4/24/21,16,2021,32431,New York
5/1/21,17,2021,23720,New York
5/8/21,18,2021,17576,New York
5/15/21,19,2021,13046,New York
5/22/21,20,2021,9880,New York
5/29/21,21,2021,6580,New York
6/5/21,22,2021,3994,New York
6/12/21,23,2021,3432,New York
6/19/21,24,2021,2534,New York
6/26/21,25,2021,2238,New York
7/3/21,26,2021,2302,New York
7/10/21,27,2021,3956,New York
7/17/21,28,2021,6157,New York
7/24/21,29,2021,10354,New York
7/31/21,30,2021,15959,New York
8/7/21,31,2021,23480,New York
8/14/21,32,2021,28844,New York
8/21/21,33,2021,31988,New York
8/28/21,34,2021,31015,New York
9/4/21,35,2021,35075,New York
9/11/21,36,2021,31532,New York
9/18/21,37,2021,38107,New York
9/25/21,38,2021,35390,New York
10/2/21,39,2021,30619,New York
10/9/21,40,2021,33510,New York
10/16/21,41,2021,33682,New York
10/23/21,42,2021,27141,New York
10/30/21,43,2021,26512,New York
11/6/21,44,2021,29676,New York
11/13/21,45,2021,37234,New York
11/20/21,46,2021,48309,New York
11/27/21,47,2021,40663,New York
12/4/21,48,2021,62165,New York
12/11/21,49,2021,67467,New York
12/18/21,50,2021,113045,New York
12/25/21,51,2021,227963,New York
1/1/22,52,2021,289518,New York
1/8/22,53,2021,45114,New York
1/8/22,1,2022,519272,New York
1/15/22,2,2022,370740,New York
1/22/22,3,2022,178568,New York
1/29/22,4,2022,93685,New York
2/5/22,5,2022,55648,New York
2/12/22,6,2022,34642,New York
2/19/22,7,2022,20299,New York
2/26/22,8,2022,16786,New York
3/5/22,9,2022,12952,New York
3/12/22,10,2022,11477,New York
3/19/22,11,2022,15158,New York
3/26/22,12,2022,19446,New York
4/2/22,13,2022,20887,New York
4/9/22,14,2022,31064,New York
4/16/22,15,2022,40369,New York
4/23/22,16,2022,45800,New York
4/30/22,17,2022,50332,New York
5/7/22,18,2022,60826,New York
5/14/22,19,2022,70642,New York
5/21/22,20,2022,66528,New York
5/28/22,21,2022,51623,New York
6/4/22,22,2022,50147,New York
6/11/22,23,2022,37918,New York
6/18/22,24,2022,39018,New York
6/25/22,25,2022,36157,New York
7/2/22,26,2022,41960,New York
7/9/22,27,2022,43574,New York
7/16/22,28,2022,53178,New York
7/23/22,29,2022,52520,New York
7/30/22,30,2022,43774,New York
8/6/22,31,2022,50360,New York
8/13/22,32,2022,40607,New York
8/20/22,33,2022,34487,New York
8/27/22,34,2022,32343,New York
9/3/22,35,2022,29454,New York
9/10/22,36,2022,24253,New York
9/17/22,37,2022,32987,New York
9/24/22,38,2022,35124,New York
10/1/22,39,2022,31704,New York
10/8/22,40,2022,29942,New York
10/15/22,41,2022,26716,New York
10/22/22,42,2022,31809,New York
10/29/22,43,2022,30200,New York
11/5/22,44,2022,30219,New York
11/12/22,45,2022,28363,New York
11/19/22,46,2022,32490,New York
11/26/22,47,2022,20866,New York
12/3/22,48,2022,48261,New York
12/10/22,49,2022,43946,New York
12/17/22,50,2022,45075,New York
12/24/22,51,2022,46503,New York
12/31/22,52,2022,178936,New York
1/7/23,1,2023,40509,New York
1/14/23,2,2023,34993,New York
1/21/23,3,2023,26244,New York
1/28/23,4,2023,27834,New York
2/4/23,5,2023,25593,New York
2/11/23,6,2023,18636,New York
2/18/23,7,2023,17642,New York
2/25/23,8,2023,14264,New York
3/4/23,9,2023,11501,New York
3/11/23,10,2023,9283,New York
3/18/23,11,2023,8061,New York
3/25/23,12,2023,4680,New York
12/30/23,52,2023,2426,New York
