date,epiweek,year,cases,geography
3/14/20,10,2020,2,North Carolina
3/21/20,11,2020,30,North Carolina
3/28/20,12,2020,237,North Carolina
4/4/20,13,2020,897,North Carolina
4/11/20,14,2020,1419,North Carolina
4/18/20,15,2020,1935,North Carolina
4/25/20,16,2020,1973,North Carolina
5/2/20,17,2020,2337,North Carolina
5/9/20,18,2020,2838,North Carolina
5/16/20,19,2020,3115,North Carolina
5/23/20,20,2020,3754,North Carolina
5/30/20,21,2020,4694,North Carolina
6/6/20,22,2020,5455,North Carolina
6/13/20,23,2020,6977,North Carolina
6/20/20,24,2020,8536,North Carolina
6/27/20,25,2020,8655,North Carolina
7/4/20,26,2020,9324,North Carolina
7/11/20,27,2020,10918,North Carolina
7/18/20,28,2020,12735,North Carolina
7/25/20,29,2020,14010,North Carolina
8/1/20,30,2020,12961,North Carolina
8/8/20,31,2020,12479,North Carolina
8/15/20,32,2020,10969,North Carolina
8/22/20,33,2020,8861,North Carolina
8/29/20,34,2020,10279,North Carolina
9/5/20,35,2020,11120,North Carolina
9/12/20,36,2020,10631,North Carolina
9/19/20,37,2020,8184,North Carolina
9/26/20,38,2020,8653,North Carolina
10/3/20,39,2020,13429,North Carolina
10/10/20,40,2020,10234,North Carolina
10/17/20,41,2020,13923,North Carolina
10/24/20,42,2020,14552,North Carolina
10/31/20,43,2020,14012,North Carolina
11/7/20,44,2020,16578,North Carolina
11/14/20,45,2020,16725,North Carolina
11/21/20,46,2020,18975,North Carolina
11/28/20,47,2020,24577,North Carolina
12/5/20,48,2020,25141,North Carolina
12/12/20,49,2020,32896,North Carolina
12/19/20,50,2020,41635,North Carolina
12/26/20,51,2020,43220,North Carolina
1/2/21,52,2020,37574,North Carolina
1/9/21,53,2020,23621,North Carolina
1/9/21,1,2021,58243,North Carolina
1/16/21,2,2021,51268,North Carolina
1/23/21,3,2021,44184,North Carolina
1/30/21,4,2021,39203,North Carolina
2/6/21,5,2021,38828,North Carolina
2/13/21,6,2021,25556,North Carolina
2/20/21,7,2021,20853,North Carolina
2/27/21,8,2021,16132,North Carolina
3/6/21,9,2021,13642,North Carolina
3/13/21,10,2021,10719,North Carolina
3/20/21,11,2021,12507,North Carolina
3/27/21,12,2021,10375,North Carolina
4/3/21,13,2021,10795,North Carolina
4/10/21,14,2021,12905,North Carolina
4/17/21,15,2021,14279,North Carolina
4/24/21,16,2021,13221,North Carolina
5/1/21,17,2021,12703,North Carolina
5/8/21,18,2021,10685,North Carolina
5/15/21,19,2021,8756,North Carolina
5/22/21,20,2021,6397,North Carolina
5/29/21,21,2021,5382,North Carolina
6/5/21,22,2021,3534,North Carolina
6/12/21,23,2021,3067,North Carolina
6/19/21,24,2021,2425,North Carolina
6/26/21,25,2021,2371,North Carolina
7/3/21,26,2021,2127,North Carolina
7/10/21,27,2021,3139,North Carolina
7/17/21,28,2021,5528,North Carolina
7/24/21,29,2021,8602,North Carolina
7/31/21,30,2021,16602,North Carolina
8/7/21,31,2021,23152,North Carolina
8/14/21,32,2021,36334,North Carolina
8/21/21,33,2021,37621,North Carolina
8/28/21,34,2021,45061,North Carolina
9/4/21,35,2021,47837,North Carolina
9/11/21,36,2021,42153,North Carolina
9/18/21,37,2021,51098,North Carolina
9/25/21,38,2021,38603,North Carolina
10/2/21,39,2021,30978,North Carolina
10/9/21,40,2021,25111,North Carolina
10/16/21,41,2021,21766,North Carolina
10/23/21,42,2021,16669,North Carolina
10/30/21,43,2021,13997,North Carolina
11/6/21,44,2021,11462,North Carolina
11/13/21,45,2021,12806,North Carolina
11/20/21,46,2021,13162,North Carolina
11/27/21,47,2021,9099,North Carolina
12/4/21,48,2021,18638,North Carolina
