date,epiweek,year,cases,geography
3/21/20,11,2020,37,Ohio
3/28/20,12,2020,314,Ohio
4/4/20,13,2020,1314,Ohio
4/11/20,14,2020,2378,Ohio
4/18/20,15,2020,2562,Ohio
4/25/20,16,2020,4997,Ohio
5/2/20,17,2020,4361,Ohio
5/9/20,18,2020,3951,Ohio
5/16/20,19,2020,4172,Ohio
5/23/20,20,2020,3839,Ohio
5/30/20,21,2020,3986,Ohio
6/6/20,22,2020,3602,Ohio
6/13/20,23,2020,2963,Ohio
6/20/20,24,2020,2672,Ohio
6/27/20,25,2020,3660,Ohio
7/4/20,26,2020,5501,Ohio
7/11/20,27,2020,6842,Ohio
7/18/20,28,2020,8441,Ohio
7/25/20,29,2020,9340,Ohio
8/1/20,30,2020,9141,Ohio
8/8/20,31,2020,8958,Ohio
8/15/20,32,2020,7817,Ohio
8/22/20,33,2020,7439,Ohio
8/29/20,34,2020,6515,Ohio
9/5/20,35,2020,7460,Ohio
9/12/20,36,2020,8296,Ohio
9/19/20,37,2020,6847,Ohio
9/26/20,38,2020,6904,Ohio
10/3/20,39,2020,6500,Ohio
10/10/20,40,2020,8098,Ohio
10/17/20,41,2020,9842,Ohio
10/24/20,42,2020,13038,Ohio
10/31/20,43,2020,16328,Ohio
11/7/20,44,2020,20885,Ohio
11/14/20,45,2020,31268,Ohio
11/21/20,46,2020,47828,Ohio
11/28/20,47,2020,53323,Ohio
12/5/20,48,2020,63013,Ohio
12/12/20,49,2020,60592,Ohio
12/19/20,50,2020,87703,Ohio
12/26/20,51,2020,60079,Ohio
1/2/21,52,2020,47719,Ohio
1/9/21,53,2020,29855,Ohio
1/9/21,1,2021,55584,Ohio
1/16/21,2,2021,49689,Ohio
1/23/21,3,2021,37568,Ohio
1/30/21,4,2021,31470,Ohio
2/6/21,5,2021,24425,Ohio
2/13/21,6,2021,19133,Ohio
2/20/21,7,2021,14417,Ohio
2/27/21,8,2021,13655,Ohio
3/6/21,9,2021,11049,Ohio
3/13/21,10,2021,10720,Ohio
3/20/21,11,2021,10560,Ohio
3/27/21,12,2021,11871,Ohio
4/3/21,13,2021,12389,Ohio
4/10/21,14,2021,15444,Ohio
4/17/21,15,2021,13720,Ohio
4/24/21,16,2021,11131,Ohio
5/1/21,17,2021,10698,Ohio
5/8/21,18,2021,8605,Ohio
5/15/21,19,2021,7285,Ohio
5/22/21,20,2021,6406,Ohio
5/29/21,21,2021,4634,Ohio
6/5/21,22,2021,2714,Ohio
6/12/21,23,2021,2399,Ohio
6/19/21,24,2021,1855,Ohio
6/26/21,25,2021,1798,Ohio
7/3/21,26,2021,1589,Ohio
7/10/21,27,2021,1978,Ohio
7/17/21,28,2021,2842,Ohio
7/24/21,29,2021,4995,Ohio
7/31/21,30,2021,8030,Ohio
8/7/21,31,2021,12196,Ohio
8/14/21,32,2021,17429,Ohio
8/21/21,33,2021,21227,Ohio
8/28/21,34,2021,30909,Ohio
9/4/21,35,2021,41303,Ohio
9/11/21,36,2021,45427,Ohio
9/18/21,37,2021,48580,Ohio
9/25/21,38,2021,42810,Ohio
10/2/21,39,2021,39730,Ohio
10/9/21,40,2021,37586,Ohio
10/16/21,41,2021,29344,Ohio
10/23/21,42,2021,25169,Ohio
10/30/21,43,2021,23483,Ohio
11/6/21,44,2021,26870,Ohio
11/13/21,45,2021,32291,Ohio
11/20/21,46,2021,38379,Ohio
11/27/21,47,2021,34874,Ohio
12/4/21,48,2021,53262,Ohio
12/11/21,49,2021,50408,Ohio
12/18/21,50,2021,65729,Ohio
12/25/21,51,2021,84768,Ohio
1/1/22,52,2021,84187,Ohio
1/8/22,1,2022,135507,Ohio
1/8/22,53,2021,21101,Ohio
1/15/22,2,2022,194879,Ohio
1/22/22,3,2022,122068,Ohio
1/29/22,4,2022,70070,Ohio
2/5/22,5,2022,33880,Ohio
