date,epiweek,year,cases,geography
3/14/20,10,2020,6,Pennsylvania
3/21/20,11,2020,62,Pennsylvania
3/28/20,12,2020,436,Pennsylvania
4/4/20,13,2020,2937,Pennsylvania
4/11/20,14,2020,8149,Pennsylvania
4/18/20,15,2020,11365,Pennsylvania
4/25/20,16,2020,10037,Pennsylvania
5/2/20,17,2020,9717,Pennsylvania
5/9/20,18,2020,9370,Pennsylvania
5/16/20,19,2020,7958,Pennsylvania
5/23/20,20,2020,5708,Pennsylvania
5/30/20,21,2020,5911,Pennsylvania
6/6/20,22,2020,4562,Pennsylvania
6/13/20,23,2020,3783,Pennsylvania
6/20/20,24,2020,3300,Pennsylvania
6/27/20,25,2020,2723,Pennsylvania
7/4/20,26,2020,3761,Pennsylvania
7/11/20,27,2020,4618,Pennsylvania
7/18/20,28,2020,5391,Pennsylvania
7/25/20,29,2020,5590,Pennsylvania
8/1/20,30,2020,6389,Pennsylvania
8/8/20,31,2020,6265,Pennsylvania
8/15/20,32,2020,5274,Pennsylvania
8/22/20,33,2020,5763,Pennsylvania
8/29/20,34,2020,4604,Pennsylvania
9/5/20,35,2020,4458,Pennsylvania
9/12/20,36,2020,5765,Pennsylvania
9/19/20,37,2020,4733,Pennsylvania
9/26/20,38,2020,6289,Pennsylvania
10/3/20,39,2020,5846,Pennsylvania
10/10/20,40,2020,7391,Pennsylvania
10/17/20,41,2020,8659,Pennsylvania
10/24/20,42,2020,9952,Pennsylvania
10/31/20,43,2020,11984,Pennsylvania
11/7/20,44,2020,15744,Pennsylvania
11/14/20,45,2020,20662,Pennsylvania
11/21/20,46,2020,33881,Pennsylvania
11/28/20,47,2020,44745,Pennsylvania
12/5/20,48,2020,47599,Pennsylvania
12/12/20,49,2020,62441,Pennsylvania
12/19/20,50,2020,72078,Pennsylvania
12/26/20,51,2020,64096,Pennsylvania
1/2/21,52,2020,54301,Pennsylvania
1/9/21,53,2020,31757,Pennsylvania
1/9/21,1,2021,59299,Pennsylvania
1/16/21,2,2021,47241,Pennsylvania
