date,epiweek,year,cases,geography
3/14/20,10,2020,6,South Carolina
3/21/20,11,2020,22,South Carolina
3/28/20,12,2020,166,South Carolina
4/4/20,13,2020,581,South Carolina
4/11/20,14,2020,1274,South Carolina
4/18/20,15,2020,1270,South Carolina
4/25/20,16,2020,1058,South Carolina
5/2/20,17,2020,1113,South Carolina
5/9/20,18,2020,1136,South Carolina
5/16/20,19,2020,1027,South Carolina
5/23/20,20,2020,1163,South Carolina
5/30/20,21,2020,1280,South Carolina
6/6/20,22,2020,1765,South Carolina
6/13/20,23,2020,2425,South Carolina
6/20/20,24,2020,4510,South Carolina
6/27/20,25,2020,5897,South Carolina
7/4/20,26,2020,8627,South Carolina
7/11/20,27,2020,11527,South Carolina
7/18/20,28,2020,11801,South Carolina
7/25/20,29,2020,13338,South Carolina
8/1/20,30,2020,11213,South Carolina
8/8/20,31,2020,10589,South Carolina
8/15/20,32,2020,8647,South Carolina
8/22/20,33,2020,6062,South Carolina
8/29/20,34,2020,5491,South Carolina
9/5/20,35,2020,6336,South Carolina
9/12/20,36,2020,6628,South Carolina
9/19/20,37,2020,6912,South Carolina
9/26/20,38,2020,5844,South Carolina
10/3/20,39,2020,8179,South Carolina
10/10/20,40,2020,5695,South Carolina
10/17/20,41,2020,5824,South Carolina
10/24/20,42,2020,6584,South Carolina
10/31/20,43,2020,6688,South Carolina
11/7/20,44,2020,7345,South Carolina
11/14/20,45,2020,7665,South Carolina
11/21/20,46,2020,9819,South Carolina
11/28/20,47,2020,10788,South Carolina
12/5/20,48,2020,9834,South Carolina
12/12/20,49,2020,15970,South Carolina
12/19/20,50,2020,20107,South Carolina
12/26/20,51,2020,21200,South Carolina
1/2/21,52,2020,22773,South Carolina
1/9/21,53,2020,11328,South Carolina
1/9/21,1,2021,32856,South Carolina
1/16/21,2,2021,33659,South Carolina
1/23/21,3,2021,30141,South Carolina
1/30/21,4,2021,25061,South Carolina
2/6/21,5,2021,22987,South Carolina
2/13/21,6,2021,20920,South Carolina
2/20/21,7,2021,16856,South Carolina
2/27/21,8,2021,12674,South Carolina
3/6/21,9,2021,9042,South Carolina
3/13/21,10,2021,7556,South Carolina
3/20/21,11,2021,8161,South Carolina
3/27/21,12,2021,7617,South Carolina
4/3/21,13,2021,6075,South Carolina
4/10/21,14,2021,7417,South Carolina
4/17/21,15,2021,6588,South Carolina
4/24/21,16,2021,5706,South Carolina
5/1/21,17,2021,5288,South Carolina
5/8/21,18,2021,4244,South Carolina
5/15/21,19,2021,4076,South Carolina
5/22/21,20,2021,2388,South Carolina
5/29/21,21,2021,2111,South Carolina
6/5/21,22,2021,1038,South Carolina
6/12/21,23,2021,747,South Carolina
6/19/21,24,2021,571,South Carolina
6/26/21,25,2021,696,South Carolina
7/3/21,26,2021,1117,South Carolina
7/10/21,27,2021,1657,South Carolina
7/17/21,28,2021,2885,South Carolina
7/24/21,29,2021,5030,South Carolina
7/31/21,30,2021,10315,South Carolina
8/7/21,31,2021,17162,South Carolina
8/14/21,32,2021,22003,South Carolina
8/21/21,33,2021,25346,South Carolina
8/28/21,34,2021,32606,South Carolina
9/4/21,35,2021,38113,South Carolina
9/11/21,36,2021,31674,South Carolina
9/18/21,37,2021,35152,South Carolina
9/25/21,38,2021,22396,South Carolina
10/2/21,39,2021,18769,South Carolina
10/9/21,40,2021,13644,South Carolina
10/16/21,41,2021,9969,South Carolina
10/23/21,42,2021,7090,South Carolina
10/30/21,43,2021,6080,South Carolina
11/6/21,44,2021,5177,South Carolina
11/13/21,45,2021,4616,South Carolina
11/20/21,46,2021,4679,South Carolina
11/27/21,47,2021,4047,South Carolina
12/4/21,48,2021,6051,South Carolina
12/11/21,49,2021,7355,South Carolina
12/18/21,50,2021,7130,South Carolina
12/25/21,51,2021,8367,South Carolina
1/1/22,52,2021,30746,South Carolina
1/8/22,53,2021,14162,South Carolina
1/8/22,1,2022,72932,South Carolina
1/15/22,2,2022,104873,South Carolina
1/22/22,3,2022,112585,South Carolina
1/29/22,4,2022,89406,South Carolina
2/5/22,5,2022,51817,South Carolina
2/12/22,6,2022,24134,South Carolina
2/19/22,7,2022,18570,South Carolina
2/26/22,8,2022,9433,South Carolina
3/5/22,9,2022,3776,South Carolina
3/12/22,10,2022,2281,South Carolina
3/19/22,11,2022,612,South Carolina
3/26/22,12,2022,1376,South Carolina
4/2/22,13,2022,1025,South Carolina
4/9/22,14,2022,1566,South Carolina
4/16/22,15,2022,891,South Carolina
4/23/22,16,2022,1496,South Carolina
4/30/22,17,2022,2179,South Carolina
5/7/22,18,2022,3073,South Carolina
5/14/22,19,2022,4301,South Carolina
5/21/22,20,2022,6082,South Carolina
5/28/22,21,2022,8034,South Carolina
6/4/22,22,2022,9205,South Carolina
6/11/22,23,2022,9456,South Carolina
6/18/22,24,2022,10348,South Carolina
6/25/22,25,2022,10621,South Carolina
7/2/22,26,2022,11014,South Carolina
7/9/22,27,2022,13733,South Carolina
7/16/22,28,2022,13446,South Carolina
7/23/22,29,2022,13918,South Carolina
7/30/22,30,2022,17662,South Carolina
8/6/22,31,2022,15956,South Carolina
8/13/22,32,2022,15987,South Carolina
8/20/22,33,2022,13640,South Carolina
8/27/22,34,2022,10272,South Carolina
9/3/22,35,2022,13261,South Carolina
9/10/22,36,2022,13359,South Carolina
9/17/22,37,2022,9106,South Carolina
9/24/22,38,2022,6693,South Carolina
10/1/22,39,2022,4635,South Carolina
10/8/22,40,2022,4207,South Carolina
10/15/22,41,2022,3153,South Carolina
10/22/22,42,2022,3166,South Carolina
10/29/22,43,2022,3093,South Carolina
11/5/22,44,2022,3467,South Carolina
11/12/22,45,2022,4173,South Carolina
11/19/22,46,2022,2954,South Carolina
11/26/22,47,2022,3064,South Carolina
12/3/22,48,2022,3028,South Carolina
12/10/22,49,2022,6787,South Carolina
12/17/22,50,2022,6480,South Carolina
12/24/22,51,2022,8558,South Carolina
12/31/22,52,2022,9855,South Carolina
1/7/23,1,2023,10590,South Carolina
1/14/23,2,2023,11284,South Carolina
1/21/23,3,2023,8033,South Carolina
1/28/23,4,2023,7053,South Carolina
2/4/23,5,2023,5939,South Carolina
2/11/23,6,2023,5588,South Carolina
2/18/23,7,2023,4867,South Carolina
2/25/23,8,2023,4207,South Carolina
3/4/23,9,2023,6111,South Carolina
3/11/23,10,2023,2837,South Carolina
3/18/23,11,2023,1900,South Carolina
3/25/23,12,2023,1990,South Carolina
12/30/23,52,2023,0,South Carolina
