date,epiweek,year,cases,geography
2/1/20,4,2020,5,United States
2/8/20,5,2020,6,United States
2/15/20,6,2020,1,United States
2/22/20,7,2020,3,United States
2/29/20,8,2020,15,United States
3/7/20,9,2020,58,United States
3/14/20,10,2020,459,United States
3/21/20,11,2020,3053,United States
3/28/20,12,2020,29473,United States
4/4/20,13,2020,109413,United States
4/11/20,14,2020,195655,United States
4/18/20,15,2020,220108,United States
4/25/20,16,2020,199347,United States
5/2/20,17,2020,213400,United States
5/9/20,18,2020,194346,United States
5/16/20,19,2020,171486,United States
5/23/20,20,2020,156938,United States
5/30/20,21,2020,157705,United States
6/6/20,22,2020,147831,United States
6/13/20,23,2020,154132,United States
6/20/20,24,2020,153023,United States
6/27/20,25,2020,187956,United States
7/4/20,26,2020,271023,United States
7/11/20,27,2020,345346,United States
7/18/20,28,2020,407497,United States
7/25/20,29,2020,466847,United States
8/1/20,30,2020,459428,United States
8/8/20,31,2020,434737,United States
8/15/20,32,2020,377147,United States
8/22/20,33,2020,361226,United States
8/29/20,34,2020,296186,United States
9/5/20,35,2020,295120,United States
9/12/20,36,2020,283729,United States
9/19/20,37,2020,245515,United States
9/26/20,38,2020,287736,United States
10/3/20,39,2020,313670,United States
10/10/20,40,2020,305955,United States
10/17/20,41,2020,370067,United States
10/24/20,42,2020,398722,United States
10/31/20,43,2020,488992,United States
11/7/20,44,2020,579846,United States
11/14/20,45,2020,777926,United States
11/21/20,46,2020,1052533,United States
11/28/20,47,2020,1199568,United States
12/5/20,48,2020,1134434,United States
12/12/20,49,2020,1379793,United States
12/19/20,50,2020,1541442,United States
12/26/20,51,2020,1511580,United States
1/2/21,52,2020,1294310,United States
1/9/21,53,2020,850013,United States
1/9/21,1,2021,1784137,United States
1/16/21,2,2021,1537280,United States
1/23/21,3,2021,1193205,United States
1/30/21,4,2021,1041614,United States
2/6/21,5,2021,824413,United States
2/13/21,6,2021,638046,United States
2/20/21,7,2021,464676,United States
2/27/21,8,2021,475351,United States
3/6/21,9,2021,410578,United States
3/13/21,10,2021,422706,United States
3/20/21,11,2021,380337,United States
3/27/21,12,2021,440195,United States
4/3/21,13,2021,447650,United States
4/10/21,14,2021,486431,United States
4/17/21,15,2021,472324,United States
4/24/21,16,2021,407863,United States
5/1/21,17,2021,344520,United States
5/8/21,18,2021,286799,United States
5/15/21,19,2021,231261,United States
5/22/21,20,2021,176959,United States
5/29/21,21,2021,140625,United States
6/5/21,22,2021,57004,United States
6/12/21,23,2021,101993,United States
6/19/21,24,2021,77932,United States
6/26/21,25,2021,83172,United States
7/3/21,26,2021,139564,United States
7/10/21,27,2021,159756,United States
7/17/21,28,2021,226134,United States
7/24/21,29,2021,365069,United States
7/31/21,30,2021,558425,United States
8/7/21,31,2021,772331,United States
8/14/21,32,2021,916095,United States
8/21/21,33,2021,1047723,United States
8/28/21,34,2021,1098369,United States
9/4/21,35,2021,1129290,United States
9/11/21,36,2021,1022674,United States
9/18/21,37,2021,1037906,United States
9/25/21,38,2021,839336,United States
10/2/21,39,2021,748687,United States
10/9/21,40,2021,675957,United States
10/16/21,41,2021,585035,United States
10/23/21,42,2021,508507,United States
10/30/21,43,2021,510730,United States
11/6/21,44,2021,515236,United States
11/13/21,45,2021,587460,United States
11/20/21,46,2021,655824,United States
11/27/21,47,2021,502568,United States
12/4/21,48,2021,849600,United States
12/11/21,49,2021,836754,United States
12/18/21,50,2021,929624,United States
12/25/21,51,2021,1433265,United States
1/1/22,52,2021,2444938,United States
1/8/22,53,2021,640638,United States
1/8/22,1,2022,5029868,United States
1/15/22,2,2022,5647954,United States
1/22/22,3,2022,4852909,United States
1/29/22,4,2022,3659728,United States
2/5/22,5,2022,2090872,United States
2/12/22,6,2022,1210730,United States
2/19/22,7,2022,748868,United States
2/26/22,8,2022,457020,United States
3/5/22,9,2022,334243,United States
3/12/22,10,2022,244652,United States
3/19/22,11,2022,229267,United States
3/26/22,12,2022,209927,United States
4/2/22,13,2022,199840,United States
4/9/22,14,2022,222773,United States
4/16/22,15,2022,260191,United States
4/23/22,16,2022,331666,United States
4/30/22,17,2022,406829,United States
5/7/22,18,2022,497924,United States
5/14/22,19,2022,642137,United States
5/21/22,20,2022,773298,United States
5/28/22,21,2022,738702,United States
6/4/22,22,2022,747272,United States
6/11/22,23,2022,766240,United States
6/18/22,24,2022,682748,United States
6/25/22,25,2022,772334,United States
7/2/22,26,2022,745463,United States
7/9/22,27,2022,795665,United States
7/16/22,28,2022,907802,United States
7/23/22,29,2022,900886,United States
7/30/22,30,2022,869658,United States
8/6/22,31,2022,819727,United States
8/13/22,32,2022,725267,United States
8/20/22,33,2022,661104,United States
8/27/22,34,2022,630933,United States
9/3/22,35,2022,593720,United States
9/10/22,36,2022,465210,United States
9/17/22,37,2022,429749,United States
9/24/22,38,2022,378896,United States
10/1/22,39,2022,337455,United States
10/8/22,40,2022,271807,United States
10/15/22,41,2022,254265,United States
10/22/22,42,2022,248345,United States
10/29/22,43,2022,255598,United States
11/5/22,44,2022,289672,United States
11/12/22,45,2022,257892,United States
11/19/22,46,2022,302756,United States
11/26/22,47,2022,261443,United States
