date,epiweek,year,cases,geography
3/7/20,9,2020,1,Utah
3/14/20,10,2020,2,Utah
3/21/20,11,2020,26,Utah
3/28/20,12,2020,153,Utah
4/4/20,13,2020,537,Utah
4/11/20,14,2020,899,Utah
4/18/20,15,2020,687,Utah
4/25/20,16,2020,766,Utah
5/2/20,17,2020,1052,Utah
5/9/20,18,2020,1052,Utah
5/16/20,19,2020,1076,Utah
5/23/20,20,2020,987,Utah
5/30/20,21,2020,1154,Utah
6/6/20,22,2020,1437,Utah
6/13/20,23,2020,2255,Utah
6/20/20,24,2020,2229,Utah
6/27/20,25,2020,3254,Utah
7/4/20,26,2020,3588,Utah
7/11/20,27,2020,3850,Utah
7/18/20,28,2020,4547,Utah
7/25/20,29,2020,4565,Utah
8/1/20,30,2020,3856,Utah
8/8/20,31,2020,3202,Utah
8/15/20,32,2020,2955,Utah
8/22/20,33,2020,2522,Utah
8/29/20,34,2020,2473,Utah
9/5/20,35,2020,2729,Utah
9/12/20,36,2020,2806,Utah
9/19/20,37,2020,3232,Utah
9/26/20,38,2020,5882,Utah
10/3/20,39,2020,6842,Utah
10/10/20,40,2020,7002,Utah
10/17/20,41,2020,8226,Utah
10/24/20,42,2020,8550,Utah
10/31/20,43,2020,10659,Utah
11/7/20,44,2020,11457,Utah
11/14/20,45,2020,16111,Utah
11/21/20,46,2020,21187,Utah
11/28/20,47,2020,23368,Utah
12/5/20,48,2020,16633,Utah
12/12/20,49,2020,21598,Utah
12/19/20,50,2020,18497,Utah
12/26/20,51,2020,17060,Utah
1/2/21,52,2020,13910,Utah
1/9/21,53,2020,11738,Utah
1/9/21,1,2021,22526,Utah
1/16/21,2,2021,17838,Utah
1/23/21,3,2021,12568,Utah
1/30/21,4,2021,10219,Utah
2/6/21,5,2021,7984,Utah
2/13/21,6,2021,6745,Utah
2/20/21,7,2021,5439,Utah
2/27/21,8,2021,4499,Utah
3/6/21,9,2021,3615,Utah
3/13/21,10,2021,3531,Utah
3/20/21,11,2021,3250,Utah
3/27/21,12,2021,2934,Utah
4/3/21,13,2021,2780,Utah
4/10/21,14,2021,2764,Utah
4/17/21,15,2021,2653,Utah
4/24/21,16,2021,2677,Utah
5/1/21,17,2021,2582,Utah
5/8/21,18,2021,2340,Utah
5/15/21,19,2021,2217,Utah
