date,epiweek,year,cases,geography
3/14/20,10,2020,1,Vermont
3/21/20,11,2020,7,Vermont
3/28/20,12,2020,44,Vermont
4/4/20,13,2020,183,Vermont
4/11/20,14,2020,277,Vermont
4/18/20,15,2020,215,Vermont
4/25/20,16,2020,85,Vermont
5/2/20,17,2020,39,Vermont
5/9/20,18,2020,46,Vermont
5/16/20,19,2020,29,Vermont
5/23/20,20,2020,14,Vermont
5/30/20,21,2020,16,Vermont
6/6/20,22,2020,25,Vermont
6/13/20,23,2020,82,Vermont
6/20/20,24,2020,64,Vermont
6/27/20,25,2020,32,Vermont
7/4/20,26,2020,43,Vermont
7/11/20,27,2020,47,Vermont
7/18/20,28,2020,47,Vermont
7/25/20,29,2020,54,Vermont
8/1/20,30,2020,50,Vermont
8/8/20,31,2020,26,Vermont
8/15/20,32,2020,33,Vermont
8/22/20,33,2020,56,Vermont
8/29/20,34,2020,42,Vermont
9/5/20,35,2020,59,Vermont
9/12/20,36,2020,32,Vermont
9/19/20,37,2020,36,Vermont
9/26/20,38,2020,31,Vermont
10/3/20,39,2020,27,Vermont
10/10/20,40,2020,43,Vermont
10/17/20,41,2020,83,Vermont
10/24/20,42,2020,69,Vermont
10/31/20,43,2020,136,Vermont
11/7/20,44,2020,123,Vermont
11/14/20,45,2020,196,Vermont
11/21/20,46,2020,497,Vermont
11/28/20,47,2020,740,Vermont
12/5/20,48,2020,471,Vermont
12/12/20,49,2020,915,Vermont
12/19/20,50,2020,738,Vermont
12/26/20,51,2020,690,Vermont
1/2/21,52,2020,586,Vermont
1/9/21,53,2020,383,Vermont
1/9/21,1,2021,1174,Vermont
1/16/21,2,2021,1090,Vermont
1/23/21,3,2021,976,Vermont
1/30/21,4,2021,932,Vermont
2/6/21,5,2021,935,Vermont
2/13/21,6,2021,777,Vermont
2/20/21,7,2021,816,Vermont
2/27/21,8,2021,705,Vermont
3/6/21,9,2021,885,Vermont
3/13/21,10,2021,807,Vermont
3/20/21,11,2021,850,Vermont
3/27/21,12,2021,1080,Vermont
4/3/21,13,2021,1329,Vermont
4/10/21,14,2021,1053,Vermont
4/17/21,15,2021,814,Vermont
4/24/21,16,2021,560,Vermont
5/1/21,17,2021,550,Vermont
5/8/21,18,2021,360,Vermont
5/15/21,19,2021,397,Vermont
5/22/21,20,2021,223,Vermont
5/29/21,21,2021,103,Vermont
6/5/21,22,2021,43,Vermont
6/12/21,23,2021,68,Vermont
6/19/21,24,2021,40,Vermont
6/26/21,25,2021,32,Vermont
7/3/21,26,2021,27,Vermont
7/10/21,27,2021,38,Vermont
7/17/21,28,2021,93,Vermont
7/24/21,29,2021,126,Vermont
7/31/21,30,2021,213,Vermont
8/7/21,31,2021,431,Vermont
8/14/21,32,2021,720,Vermont
8/21/21,33,2021,1010,Vermont
8/28/21,34,2021,922,Vermont
9/4/21,35,2021,1022,Vermont
9/11/21,36,2021,1120,Vermont
9/18/21,37,2021,1520,Vermont
9/25/21,38,2021,1397,Vermont
10/2/21,39,2021,1190,Vermont
10/9/21,40,2021,1451,Vermont
10/16/21,41,2021,1646,Vermont
10/23/21,42,2021,1525,Vermont
10/30/21,43,2021,1348,Vermont
11/6/21,44,2021,2122,Vermont
11/13/21,45,2021,2488,Vermont
11/20/21,46,2021,2575,Vermont
11/27/21,47,2021,744,Vermont
12/4/21,48,2021,4769,Vermont
12/11/21,49,2021,2960,Vermont
12/18/21,50,2021,2846,Vermont
12/25/21,51,2021,1570,Vermont
1/1/22,52,2021,4182,Vermont
1/8/22,53,2021,381,Vermont
1/8/22,1,2022,12226,Vermont
1/15/22,2,2022,13995,Vermont
1/22/22,3,2022,8441,Vermont
1/29/22,4,2022,5051,Vermont
2/5/22,5,2022,2530,Vermont
2/12/22,6,2022,2279,Vermont
2/19/22,7,2022,1710,Vermont
2/26/22,8,2022,1344,Vermont
3/5/22,9,2022,1084,Vermont
3/12/22,10,2022,841,Vermont
3/19/22,11,2022,920,Vermont
3/26/22,12,2022,981,Vermont
4/2/22,13,2022,951,Vermont
4/9/22,14,2022,1191,Vermont
4/16/22,15,2022,1622,Vermont
4/23/22,16,2022,1921,Vermont
4/30/22,17,2022,2308,Vermont
5/7/22,18,2022,2257,Vermont
5/14/22,19,2022,2372,Vermont
5/21/22,20,2022,1383,Vermont
5/28/22,21,2022,1606,Vermont
6/4/22,22,2022,1216,Vermont
6/11/22,23,2022,993,Vermont
6/18/22,24,2022,746,Vermont
6/25/22,25,2022,615,Vermont
7/2/22,26,2022,638,Vermont
7/9/22,27,2022,477,Vermont
7/16/22,28,2022,550,Vermont
7/23/22,29,2022,569,Vermont
7/30/22,30,2022,385,Vermont
8/6/22,31,2022,496,Vermont
8/13/22,32,2022,634,Vermont
8/20/22,33,2022,447,Vermont
8/27/22,34,2022,543,Vermont
9/3/22,35,2022,539,Vermont
9/10/22,36,2022,432,Vermont
9/17/22,37,2022,542,Vermont
9/24/22,38,2022,558,Vermont
10/1/22,39,2022,603,Vermont
10/8/22,40,2022,606,Vermont
10/15/22,41,2022,634,Vermont
10/22/22,42,2022,663,Vermont
10/29/22,43,2022,549,Vermont
11/5/22,44,2022,514,Vermont
11/12/22,45,2022,429,Vermont
11/19/22,46,2022,305,Vermont
11/26/22,47,2022,299,Vermont
12/3/22,48,2022,335,Vermont
12/10/22,49,2022,444,Vermont
12/17/22,50,2022,436,Vermont
12/24/22,51,2022,374,Vermont
12/31/22,52,2022,362,Vermont
1/7/23,1,2023,442,Vermont
1/14/23,2,2023,463,Vermont
1/21/23,3,2023,389,Vermont
1/28/23,4,2023,503,Vermont
2/4/23,5,2023,478,Vermont
2/11/23,6,2023,317,Vermont
2/18/23,7,2023,492,Vermont
2/25/23,8,2023,448,Vermont
3/4/23,9,2023,347,Vermont
3/11/23,10,2023,346,Vermont
3/18/23,11,2023,333,Vermont
3/25/23,12,2023,247,Vermont
12/30/23,52,2023,0,Vermont
