date,epiweek,year,cases,geography
2/1/20,4,2020,1,Washington
2/8/20,5,2020,0,Washington
2/15/20,6,2020,0,Washington
2/22/20,7,2020,0,Washington
2/29/20,8,2020,0,Washington
3/7/20,9,2020,16,Washington
3/14/20,10,2020,124,Washington
3/21/20,11,2020,534,Washington
3/28/20,12,2020,1169,Washington
4/4/20,13,2020,3053,Washington
4/11/20,14,2020,3088,Washington
4/18/20,15,2020,2429,Washington
4/25/20,16,2020,1450,Washington
5/2/20,17,2020,1880,Washington
5/9/20,18,2020,2199,Washington
5/16/20,19,2020,1838,Washington
5/23/20,20,2020,1733,Washington
5/30/20,21,2020,1475,Washington
6/6/20,22,2020,1825,Washington
6/13/20,23,2020,2250,Washington
6/20/20,24,2020,2071,Washington
6/27/20,25,2020,2662,Washington
7/4/20,26,2020,3544,Washington
7/11/20,27,2020,4127,Washington
7/18/20,28,2020,4713,Washington
7/25/20,29,2020,6420,Washington
8/1/20,30,2020,5820,Washington
8/8/20,31,2020,5739,Washington
8/15/20,32,2020,5088,Washington
8/22/20,33,2020,4646,Washington
8/29/20,34,2020,3851,Washington
9/5/20,35,2020,3377,Washington
9/12/20,36,2020,3247,Washington
9/19/20,37,2020,2808,Washington
9/26/20,38,2020,2992,Washington
10/3/20,39,2020,3653,Washington
10/10/20,40,2020,3705,Washington
10/17/20,41,2020,4000,Washington
10/24/20,42,2020,4876,Washington
10/31/20,43,2020,4867,Washington
11/7/20,44,2020,5839,Washington
11/14/20,45,2020,9201,Washington
11/21/20,46,2020,13055,Washington
11/28/20,47,2020,14338,Washington
12/5/20,48,2020,18630,Washington
12/12/20,49,2020,17172,Washington
12/19/20,50,2020,23880,Washington
12/26/20,51,2020,17664,Washington
1/2/21,52,2020,13987,Washington
1/9/21,53,2020,10028,Washington
1/9/21,1,2021,17776,Washington
1/16/21,2,2021,16963,Washington
1/23/21,3,2021,11227,Washington
1/30/21,4,2021,11246,Washington
2/6/21,5,2021,8178,Washington
2/13/21,6,2021,7217,Washington
2/20/21,7,2021,5781,Washington
2/27/21,8,2021,5699,Washington
3/6/21,9,2021,4747,Washington
3/13/21,10,2021,4834,Washington
3/20/21,11,2021,5195,Washington
3/27/21,12,2021,6239,Washington
4/3/21,13,2021,6750,Washington
4/10/21,14,2021,7643,Washington
4/17/21,15,2021,9330,Washington
4/24/21,16,2021,9624,Washington
5/1/21,17,2021,9653,Washington
5/8/21,18,2021,9283,Washington
5/15/21,19,2021,8639,Washington
5/22/21,20,2021,4945,Washington
5/29/21,21,2021,7966,Washington
6/5/21,22,2021,4514,Washington
6/12/21,23,2021,4085,Washington
6/19/21,24,2021,3079,Washington
6/26/21,25,2021,3220,Washington
7/3/21,26,2021,2094,Washington
7/10/21,27,2021,2608,Washington
7/17/21,28,2021,4320,Washington
7/24/21,29,2021,6077,Washington
7/31/21,30,2021,7031,Washington
8/7/21,31,2021,15440,Washington
8/14/21,32,2021,18671,Washington
8/21/21,33,2021,21572,Washington
8/28/21,34,2021,22874,Washington
9/4/21,35,2021,24643,Washington
9/11/21,36,2021,22464,Washington
9/18/21,37,2021,23070,Washington
9/25/21,38,2021,20031,Washington
10/2/21,39,2021,20375,Washington
10/9/21,40,2021,17148,Washington
10/16/21,41,2021,16616,Washington
10/23/21,42,2021,15649,Washington
10/30/21,43,2021,14747,Washington
11/6/21,44,2021,12399,Washington
11/13/21,45,2021,12612,Washington
11/20/21,46,2021,11985,Washington
11/27/21,47,2021,6070,Washington
12/4/21,48,2021,12774,Washington
12/11/21,49,2021,9466,Washington
12/18/21,50,2021,9972,Washington
12/25/21,51,2021,14580,Washington
1/1/22,52,2021,35146,Washington
1/8/22,53,2021,7493,Washington
1/8/22,1,2022,82567,Washington
1/15/22,2,2022,110980,Washington
1/22/22,3,2022,111180,Washington
1/29/22,4,2022,136985,Washington
2/5/22,5,2022,70647,Washington
2/12/22,6,2022,43943,Washington
2/19/22,7,2022,1677,Washington
2/26/22,8,2022,8285,Washington
3/5/22,9,2022,11850,Washington
3/12/22,10,2022,7832,Washington
3/19/22,11,2022,7181,Washington
3/26/22,12,2022,6052,Washington
4/2/22,13,2022,5412,Washington
4/9/22,14,2022,10626,Washington
4/16/22,15,2022,7505,Washington
4/23/22,16,2022,8895,Washington
4/30/22,17,2022,14267,Washington
5/7/22,18,2022,12341,Washington
5/14/22,19,2022,20010,Washington
5/21/22,20,2022,21897,Washington
5/28/22,21,2022,21332,Washington
6/4/22,22,2022,18291,Washington
6/11/22,23,2022,18962,Washington
6/18/22,24,2022,17843,Washington
6/25/22,25,2022,18110,Washington
7/2/22,26,2022,19562,Washington
7/9/22,27,2022,18555,Washington
