"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jan-09-2025)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Utah,IHSP,2024-25,2024,40,Overall,Overall,White,Overall,0.2,0.2,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,Black,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,Overall,Overall,0.2,0.2,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
Utah,IHSP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0.2,0.2,null,null
California,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0.1,0.1,null,null
California,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0.2,0.2,null,null
California,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0.1,0.1,null,null
California,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0.7,0.7,null,null
California,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0.1,0.1,null,null
California,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0.2,0.2,null,null
California,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
California,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
California,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0.2,0.2,null,null
California,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0.2,0.2,null,null
Colorado,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0.1,0.1,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0.6,0.6,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0.3,0.3,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0.3,0.3,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0.2,0.2,null,null
Connecticut,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0.2,0.2,null,null
Georgia,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0.1,0.1,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0.1,0.1,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0,0,null,null
Georgia,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0,0,null,null
