,name_location,name_proxy,date_peak,date_detected
0,State,Alabama,2023-12-30,2025-01-11
1,State,Alabama,2024-08-17,2025-01-11
2,State,Alaska,2024-01-06,2025-01-11
3,State,Alaska,2024-07-27,2025-01-11
4,State,Arizona,2023-10-21,2025-01-11
5,State,Arizona,2023-11-18,2025-01-11
6,State,Arizona,2023-12-30,2025-01-11
7,State,Arkansas,2023-12-30,2025-01-11
8,State,Arkansas,2024-08-10,2025-01-11
9,State,California,2023-12-30,2025-01-11
10,State,Colorado,2023-11-25,2025-01-11
11,State,Connecticut,2023-12-30,2025-01-11
12,State,Connecticut,2024-08-24,2025-01-11
13,State,Delaware,2023-12-30,2025-01-11
14,State,District of Columbia,2024-01-13,2025-01-11
15,State,District of Columbia,2024-08-03,2025-01-11
16,State,Florida,2024-01-06,2025-01-11
17,State,Florida,2024-07-20,2025-01-11
18,State,Georgia,2023-12-30,2025-01-11
19,State,Georgia,2024-08-24,2025-01-11
20,State,Hawaii,2024-06-22,2025-01-11
21,State,Idaho,2023-12-02,2025-01-11
22,State,Idaho,2023-12-30,2025-01-11
23,State,Illinois,2023-12-30,2025-01-11
24,State,Indiana,2023-12-30,2025-01-11
25,State,Kansas,2023-12-30,2025-01-11
26,State,Kansas,2024-08-24,2025-01-11
27,State,Kansas,2024-12-28,2025-01-11
28,State,Kentucky,2023-12-30,2025-01-11
29,State,Louisiana,2024-01-06,2025-01-11
30,State,Louisiana,2024-02-10,2025-01-11
31,State,Louisiana,2024-08-10,2025-01-11
32,State,Maine,2024-09-21,2025-01-11
33,State,Maryland,2023-12-30,2025-01-11
34,State,Maryland,2024-08-03,2025-01-11
35,State,Maryland,2024-08-31,2025-01-11
36,State,Massachusetts,2024-08-17,2025-01-11
37,State,Massachusetts,2025-01-04,2025-01-11
38,State,Minnesota,2024-02-10,2024-02-24
39,State,Minnesota,2024-08-17,2025-01-11
40,State,Mississippi,2023-12-30,2025-01-11
41,State,Mississippi,2024-08-10,2025-01-11
42,State,Montana,2023-11-11,2025-01-11
43,State,Montana,2024-01-06,2025-01-11
44,State,Nebraska,2024-08-17,2025-01-11
45,State,New Hampshire,2023-12-30,2025-01-11
46,State,New Hampshire,2024-08-24,2025-01-11
47,State,New Hampshire,2025-01-04,2025-01-11
48,State,New Jersey,2023-12-30,2025-01-11
49,State,New Mexico,2024-08-17,2025-01-11
50,State,New York,2023-12-30,2025-01-11
51,State,New York,2024-08-03,2025-01-11
52,State,North Carolina,2023-12-30,2025-01-11
53,State,North Carolina,2024-08-17,2025-01-11
54,State,North Dakota,2023-12-02,2025-01-11
55,State,North Dakota,2024-09-07,2025-01-11
56,State,Ohio,2023-12-30,2025-01-11
57,State,Ohio,2024-08-31,2025-01-11
58,State,Oklahoma,2024-08-24,2025-01-11
59,State,Pennsylvania,2023-12-30,2025-01-11
60,State,Pennsylvania,2024-09-14,2025-01-11
61,State,Rhode Island,2024-08-17,2025-01-11
62,State,Rhode Island,2025-01-04,2025-01-11
63,State,South Carolina,2024-01-06,2025-01-11
64,State,South Carolina,2024-08-24,2025-01-11
65,State,South Dakota,2024-09-07,2025-01-11
66,State,Tennessee,2023-12-30,2025-01-11
67,State,Tennessee,2024-08-17,2025-01-11
68,State,Texas,2024-01-06,2025-01-11
69,State,Texas,2024-01-27,2025-01-11
70,State,Texas,2024-08-03,2025-01-11
71,State,Utah,2023-12-30,2025-01-11
72,State,Vermont,2023-12-09,2025-01-11
73,State,Vermont,2023-12-30,2025-01-11
74,State,Vermont,2024-02-03,2024-02-17
75,State,Vermont,2024-08-24,2025-01-11
76,State,Vermont,2024-09-14,2025-01-11
77,State,Virginia,2023-12-30,2025-01-11
78,State,Virginia,2024-08-31,2025-01-11
79,State,Washington,2024-08-03,2025-01-11
80,State,West Virginia,2024-09-07,2025-01-11
81,State,Wyoming,2023-12-02,2025-01-11
82,State,Wyoming,2023-12-30,2025-01-11
