,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-08-12,2024-01-06
1,Alabama,Alabama,2024-10-26,2025-01-04
2,Alaska,Alaska,2022-11-26,2022-12-17
3,Alaska,Alaska,2023-09-23,2023-11-11
4,Alaska,Alaska,2024-02-24,2024-04-06
5,Alaska,Alaska,2024-11-23,2025-01-11
6,Arizona,Arizona,2022-11-26,2022-12-24
7,Arizona,Arizona,2023-04-29,2023-06-10
8,Arizona,Arizona,2023-09-30,2024-01-06
9,Arizona,Arizona,2024-10-19,2025-01-11
10,Arkansas,Arkansas,2023-10-28,2024-02-24
11,Arkansas,Arkansas,2024-11-16,2025-01-11
12,California,California,2022-11-12,2022-12-24
13,California,California,2023-09-16,2024-01-06
14,California,California,2024-10-26,2025-01-11
15,Colorado,Colorado,2022-11-12,2022-12-31
16,Colorado,Colorado,2023-09-30,2024-01-13
17,Colorado,Colorado,2024-10-26,2025-01-11
18,Connecticut,Connecticut,2022-11-12,2022-12-24
19,Connecticut,Connecticut,2023-11-04,2024-01-20
20,Connecticut,Connecticut,2024-10-05,2025-01-11
21,Delaware,Delaware,2022-11-12,2022-12-17
22,Delaware,Delaware,2023-11-25,2024-01-06
23,Delaware,Delaware,2024-11-23,2025-01-11
24,Florida,Florida,2022-11-12,2022-12-31
25,Florida,Florida,2023-05-13,2023-06-10
26,Florida,Florida,2023-09-16,2024-01-06
27,Florida,Florida,2024-09-07,2025-01-11
28,Georgia,Georgia,2023-08-12,2023-12-30
29,Georgia,Georgia,2024-11-02,2025-01-11
30,Hawaii,Hawaii,2023-08-05,2024-01-06
31,Hawaii,Hawaii,2024-12-07,2025-01-11
32,Idaho,Idaho,2022-11-26,2022-12-31
33,Idaho,Idaho,2023-09-16,2024-01-06
34,Idaho,Idaho,2024-11-16,2025-01-04
35,Illinois,Illinois,2022-11-12,2022-12-17
36,Illinois,Illinois,2023-09-09,2024-01-06
37,Illinois,Illinois,2024-10-26,2025-01-11
38,Indiana,Indiana,2022-11-12,2022-12-24
39,Indiana,Indiana,2023-09-30,2024-03-02
