name_location,name_proxy,start_date,end_date,season,peak_name_location,date_peak,time_diff
Alabama,Alabama,2023-07-22,2023-09-09,23-24,State,2023-12-30,161
Alabama,Alabama,2023-12-09,2024-01-27,23-24,State,2023-12-30,21
Alabama,Alabama,2024-07-06,2024-08-31,24-25,State,2024-08-17,42
Alaska,Alaska,2023-06-24,2023-09-30,23-24,State,2024-01-06,196
Alaska,Alaska,2023-12-16,2024-02-03,23-24,State,2024-01-06,21
Alaska,Alaska,2024-06-08,2024-08-17,24-25,State,2024-07-27,49
Arizona,Arizona,2023-08-05,2023-11-25,23-24,State,2023-10-21,77
Arkansas,Arkansas,2023-08-05,2023-09-16,23-24,State,2023-12-30,147
Arkansas,Arkansas,2023-12-09,2024-01-13,23-24,State,2023-12-30,21
Arkansas,Arkansas,2024-07-06,2024-09-07,24-25,State,2024-08-10,35
California,California,2023-07-22,2023-09-16,23-24,State,2023-12-30,161
California,California,2023-12-02,2024-01-13,23-24,State,2023-12-30,28
Colorado,Colorado,2023-07-15,2023-12-02,23-24,State,2023-11-25,133
Connecticut,Connecticut,2023-08-05,2023-10-07,23-24,State,2023-12-30,147
Connecticut,Connecticut,2023-12-09,2024-01-13,23-24,State,2023-12-30,21
Delaware,Delaware,2023-07-29,2023-10-07,23-24,State,2023-12-30,154
Delaware,Delaware,2023-12-09,2024-01-13,23-24,State,2023-12-30,21
Florida,Florida,2023-06-24,2023-09-09,23-24,State,2024-01-06,196
Florida,Florida,2023-12-16,2024-02-03,23-24,State,2024-01-06,21
Florida,Florida,2024-06-08,2024-08-10,24-25,State,2024-07-20,42
Georgia,Georgia,2023-07-08,2023-09-02,23-24,State,2023-12-30,175
Georgia,Georgia,2023-12-09,2024-02-17,23-24,State,2023-12-30,21
Georgia,Georgia,2024-07-06,2024-08-31,24-25,State,2024-08-24,49
Georgia,Georgia,2024-12-21,2025-02-15,24-25,State,2025-03-08,77
Idaho,Idaho,2023-08-12,2023-10-14,23-24,State,2023-12-02,112
Illinois,Illinois,2023-08-05,2023-09-23,23-24,State,2023-12-30,147
Illinois,Illinois,2023-11-18,2024-01-06,23-24,State,2023-12-30,42
Indiana,Indiana,2023-08-05,2023-09-23,23-24,State,2023-12-30,147
Indiana,Indiana,2023-11-11,2024-01-06,23-24,State,2023-12-30,49
Kansas,Kansas,2023-08-12,2023-09-23,23-24,State,2023-12-30,140
Kansas,Kansas,2023-11-25,2024-01-06,23-24,State,2023-12-30,35
Kansas,Kansas,2024-07-13,2024-09-07,24-25,State,2024-12-28,168
Kansas,Kansas,2024-12-14,2025-01-04,24-25,State,2024-12-28,14
Kentucky,Kentucky,2023-08-05,2023-09-23,23-24,State,2023-12-30,147
Kentucky,Kentucky,2023-11-04,2024-01-06,23-24,State,2023-12-30,56
Kentucky,Kentucky,2024-07-06,2024-09-07,24-25,State,2024-08-24,49
Louisiana,Louisiana,2023-07-15,2023-09-09,23-24,State,2024-01-06,175
Louisiana,Louisiana,2023-12-09,2024-02-10,23-24,State,2024-01-06,28
Louisiana,Louisiana,2024-06-29,2024-08-24,24-25,State,2024-08-10,42
Maine,Maine,2024-07-20,2024-09-21,24-25,State,2024-09-21,63
Maryland,Maryland,2023-07-29,2023-09-30,23-24,State,2023-12-30,154
Maryland,Maryland,2023-11-18,2024-01-13,23-24,State,2023-12-30,42
Minnesota,Minnesota,2024-06-29,2024-09-14,24-25,State,2024-08-17,49
Minnesota,Minnesota,2024-12-21,2025-01-11,24-25,State,2025-01-04,14
Mississippi,Mississippi,2023-07-29,2023-09-09,23-24,State,2023-12-30,154
Mississippi,Mississippi,2023-12-09,2024-01-27,23-24,State,2023-12-30,21
Mississippi,Mississippi,2024-07-06,2024-08-24,24-25,State,2024-08-10,35
Montana,Montana,2023-07-29,2023-10-21,23-24,State,2023-11-11,105
Nebraska,Nebraska,2024-07-13,2024-09-07,24-25,State,2024-08-17,35
Nebraska,Nebraska,2024-12-14,2025-01-11,24-25,State,2025-01-04,21
New Hampshire,New Hampshire,2023-08-12,2023-10-07,23-24,State,2023-12-30,140
New Hampshire,New Hampshire,2023-12-09,2024-01-13,23-24,State,2023-12-30,21
New Jersey,New Jersey,2023-07-29,2023-10-07,23-24,State,2023-12-30,154
New Jersey,New Jersey,2023-12-09,2024-01-20,23-24,State,2023-12-30,21
New Mexico,New Mexico,2024-06-08,2024-08-31,24-25,State,2024-08-17,70
New York,New York,2023-08-05,2023-10-07,23-24,State,2023-12-30,147
New York,New York,2023-12-09,2024-01-13,23-24,State,2023-12-30,21
New York,New York,2024-06-08,2024-09-07,24-25,State,2024-08-03,56
North Carolina,North Carolina,2023-07-29,2023-09-23,23-24,State,2023-12-30,154
North Carolina,North Carolina,2023-12-16,2024-01-27,23-24,State,2023-12-30,14
North Carolina,North Carolina,2024-07-06,2024-09-07,24-25,State,2024-08-17,42
North Dakota,North Dakota,2023-07-29,2023-12-30,23-24,State,2023-12-02,126
North Dakota,North Dakota,2024-07-27,2024-09-14,24-25,State,2024-09-07,42
North Dakota,North Dakota,2024-12-14,2025-01-18,24-25,State,2024-12-28,14
Ohio,Ohio,2023-08-05,2023-09-30,23-24,State,2023-12-30,147
Ohio,Ohio,2023-11-25,2024-01-06,23-24,State,2023-12-30,35
Pennsylvania,Pennsylvania,2023-07-15,2023-10-07,23-24,State,2023-12-30,168
Pennsylvania,Pennsylvania,2023-11-18,2024-01-13,23-24,State,2023-12-30,42
Rhode Island,Rhode Island,2024-07-06,2024-08-31,24-25,State,2024-08-17,42
Rhode Island,Rhode Island,2024-12-14,2025-01-18,24-25,State,2025-01-04,21
South Carolina,South Carolina,2023-07-22,2023-09-16,23-24,State,2024-01-06,168
South Carolina,South Carolina,2023-12-16,2024-02-03,23-24,State,2024-01-06,21
South Carolina,South Carolina,2024-07-06,2024-08-31,24-25,State,2024-08-24,49
South Dakota,South Dakota,2024-06-15,2024-09-14,24-25,State,2024-09-07,84
South Dakota,South Dakota,2024-11-23,2025-01-18,24-25,State,2025-01-04,42
Tennessee,Tennessee,2023-07-22,2023-09-09,23-24,State,2023-12-30,161
Tennessee,Tennessee,2023-11-11,2024-01-13,23-24,State,2023-12-30,49
Tennessee,Tennessee,2024-07-06,2024-08-31,24-25,State,2024-08-17,42
