,name_location,name_proxy,date_peak,date_detected
0,State,Alabama,2024-12-28,2025-03-29
1,State,Alaska,2019-02-09,2019-02-23
2,State,Alaska,2024-12-28,2025-03-29
3,State,Arizona,2024-12-28,2025-03-29
4,State,Arkansas,2024-12-28,2025-03-29
5,State,Arkansas,2025-02-01,2025-03-29
6,State,California,2024-12-28,2025-03-29
7,State,Colorado,2024-12-28,2025-03-29
8,State,Connecticut,2025-02-08,2025-03-29
9,State,Delaware,2025-01-04,2025-03-29
10,State,Delaware,2025-02-08,2025-03-29
11,State,District of Columbia,2024-12-28,2025-03-29
12,State,District of Columbia,2025-02-08,2025-03-29
13,State,Florida,2024-12-28,2025-03-29
14,State,Florida,2025-02-01,2025-03-29
15,State,Georgia,2024-12-28,2025-03-29
16,State,Georgia,2025-01-25,2025-03-29
17,State,Hawaii,2024-12-28,2025-03-29
18,State,Idaho,2016-03-19,2016-04-02
19,State,Idaho,2024-12-28,2025-03-29
20,State,Illinois,2024-12-28,2025-03-29
21,State,Illinois,2025-02-08,2025-03-29
22,State,Indiana,2025-02-08,2025-03-29
23,State,Iowa,2014-01-18,2014-02-01
24,State,Iowa,2024-12-28,2025-03-29
25,State,Iowa,2025-02-08,2025-03-29
26,State,Kansas,2024-12-28,2025-03-29
27,State,Kansas,2025-02-15,2025-03-29
28,State,Kentucky,2024-12-28,2025-03-29
29,State,Kentucky,2025-02-08,2025-03-29
30,State,Louisiana,2016-03-05,2016-03-19
31,State,Louisiana,2024-12-28,2025-03-29
32,State,Maine,2025-02-15,2025-03-29
33,State,Maryland,2025-02-08,2025-03-29
34,State,Massachusetts,2025-02-08,2025-03-29
35,State,Michigan,2025-02-15,2025-03-29
36,State,Minnesota,2024-02-10,2024-02-24
37,State,Minnesota,2025-01-25,2025-03-29
38,State,Mississippi,2024-12-28,2025-03-29
39,State,Mississippi,2025-01-25,2025-03-29
40,State,Montana,2024-12-28,2025-03-29
41,State,Montana,2025-02-15,2025-03-29
42,State,Nebraska,2014-01-25,2014-02-08
43,State,Nebraska,2016-03-12,2016-03-26
44,State,Nebraska,2024-03-02,2024-03-16
45,State,Nebraska,2024-12-28,2025-03-29
46,State,Nebraska,2025-02-08,2025-03-29
47,State,Nevada,2012-02-11,2012-02-25
48,State,Nevada,2024-12-28,2025-03-29
49,State,New Hampshire,2016-04-02,2016-04-16
50,State,New Hampshire,2025-02-08,2025-03-29
51,State,New Jersey,2011-11-26,2011-12-10
52,State,New Jersey,2025-02-01,2025-03-29
53,State,New Mexico,2024-12-28,2025-03-29
54,State,New York,2012-03-17,2011-03-31
55,State,New York,2025-02-15,2025-03-29
56,State,North Carolina,2025-02-08,2025-03-29
57,State,North Dakota,2025-01-25,2025-03-29
58,State,Ohio,2025-02-15,2025-03-29
59,State,Oklahoma,2016-03-12,2016-03-26
60,State,Oklahoma,2025-02-01,2025-03-29
61,State,Oregon,2024-12-28,2025-03-29
62,State,Pennsylvania,2025-02-08,2025-03-29
63,State,Rhode Island,2012-04-14,2012-04-28
64,State,Rhode Island,2025-02-01,2025-03-29
65,State,South Carolina,2025-02-01,2025-03-29
66,State,South Dakota,2025-02-01,2025-03-29
67,State,Tennessee,2024-12-28,2025-03-29
68,State,Tennessee,2025-02-01,2025-03-29
69,State,Texas,2025-01-04,2025-03-29
70,State,Texas,2025-02-01,2025-03-29
71,State,Utah,2024-12-28,2025-03-29
72,State,Vermont,2016-02-20,2016-03-05
73,State,Vermont,2017-03-11,2017-03-25
74,State,Vermont,2024-02-03,2024-02-17
75,State,Virginia,2024-12-28,2025-03-29
76,State,Virginia,2025-02-08,2025-03-29
77,State,Washington,2024-12-28,2025-03-29
78,State,Washington,2025-02-08,2025-03-29
79,State,West Virginia,2012-03-24,2012-04-07
80,State,West Virginia,2025-02-15,2025-03-29
81,State,Wisconsin,2025-02-08,2025-03-29
82,State,Wyoming,2024-12-28,2025-03-29
83,State,Wyoming,2025-02-08,2025-03-29
