state,season,model_type,n_weeks,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_mean_contribution,flu_max_contribution,flu_sum_contribution,flu_peak_week,rsv_mean_contribution,rsv_max_contribution,rsv_sum_contribution,rsv_peak_week,covid_mean_contribution,covid_max_contribution,covid_sum_contribution,covid_peak_week,total_explained_variance,dominant_pathogen
Colorado,24-25,ridge_without_intercept,44,0,0.10712559350421161,0.8075722906587706,0.19115593695703484,0.2072002290107525,0.8075722906587706,9.116810076473106,9,0.05087936841218172,0.19115593695703484,2.2386922101359965,9,0.04605220073369758,0.10712559350421161,2.0262968322826933,3,13.381799118891795,Flu
Connecticut,24-25,ridge_without_intercept,44,0,0.09264365451573868,0.8839843668876521,0.31350084737623946,0.16677607002390615,0.8839843668876521,7.33814708105187,32,0.06063251682766841,0.31350084737623946,2.667830740417411,10,0.03764792778616356,0.09264365451573868,1.6565088225911966,3,11.662486644060479,Flu
District of Columbia,24-25,ridge_without_intercept,44,0,0.12957403413926288,0.806387608044963,0.39627273679649716,0.14523317371893085,0.806387608044963,6.390259643632958,15,0.08012221770871528,0.39627273679649716,3.525377579183472,37,0.04650325019701609,0.12957403413926288,2.0461430086687074,29,11.961780231485138,Flu
Florida,24-25,ridge_without_intercept,44,0,0.0929874625263352,0.943479491247363,0.19346849760457543,0.21789098040870045,0.943479491247363,9.587203137982817,30,0.06827251343601265,0.19346849760457543,3.0039905911845564,27,0.02338287339630504,0.0929874625263352,1.0288464294374216,25,13.620040158604795,Flu
Hawaii,24-25,ridge_without_intercept,44,0,0.2918250725647882,0.7435165709186964,0.2183093436412549,0.21356327037026385,0.7435165709186964,9.396783896291609,31,0.06877984718697491,0.2183093436412549,3.0263132762268956,5,0.07395182744122106,0.2918250725647882,3.2538804074137273,2,15.676977579932231,Flu
Illinois,24-25,ridge_without_intercept,44,0,0.09805457798303308,0.7583534437659774,0.38627601206813267,0.1593428193618823,0.7583534437659774,7.011084051922818,42,0.07702041519698893,0.38627601206813267,3.3888982686675133,30,0.039464060881906494,0.09805457798303308,1.7364186788038858,11,12.136400999394219,Flu
Iowa,24-25,ridge_without_intercept,44,0,0.10206829276117002,0.71700780021307,0.20261125257584342,0.12132838602779013,0.71700780021307,5.338448985222767,31,0.05610408514675343,0.20261125257584342,2.468579746457151,7,0.040378157467724725,0.10206829276117002,1.776638928579888,16,9.583667660259806,Flu
Montana,24-25,ridge_without_intercept,44,0,0.13309345991162444,0.8005044147298309,0.136452464182522,0.15842815845739897,0.8005044147298309,6.970838972125556,29,0.02675269112209112,0.136452464182522,1.1771184093720093,18,0.05676943262529803,0.13309345991162444,2.497855035513113,4,10.645812417010678,Flu
Nevada,24-25,ridge_without_intercept,44,0,0.05578212239954296,0.8359274940673922,0.14442531459496705,0.18007900013452127,0.8359274940673922,7.923476005918936,40,0.038248522310198214,0.14442531459496705,1.6829349816487211,40,0.020319381262780226,0.05578212239954296,0.8940527755623301,14,10.500463763129988,Flu
New Jersey,24-25,ridge_without_intercept,44,0,0.0493336648828299,0.8490428110586298,0.3609966065837843,0.17146597320653112,0.8490428110586298,7.544502821087371,10,0.08076693824648379,0.3609966065837843,3.553745282845287,22,0.021995470172744322,0.0493336648828299,0.9678006876007503,28,12.066048791533408,Flu
