state,season,model_type,n_weeks,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_mean_contribution,flu_max_contribution,flu_sum_contribution,flu_peak_week,rsv_mean_contribution,rsv_max_contribution,rsv_sum_contribution,rsv_peak_week,covid_mean_contribution,covid_max_contribution,covid_sum_contribution,covid_peak_week,total_explained_variance,dominant_pathogen
Colorado,22-23,ridge_with_intercept,34,0.02262261172883623,0.24620796833032588,0.6962867503974344,0.16880760053926777,0.1534161222351345,0.6962867503974344,5.216148155994574,13,0.038404612212897815,0.16880760053926777,1.3057568152385257,27,0.09385982503090477,0.24620796833032588,3.1912340510507624,28,9.713139022283862,Flu
Connecticut,22-23,ridge_with_intercept,34,0.040729335692010926,0.13850510373140668,0.8364580803102084,0.07904287397331515,0.15555326330924027,0.8364580803102084,5.288810952514168,31,0.017647272665165283,0.07904287397331515,0.6000072706156196,29,0.04762634484413088,0.13850510373140668,1.6192957247004498,4,7.508113947830237,Flu
District of Columbia,22-23,ridge_with_intercept,34,0.1361318230257855,0.010576399862574568,0.5963191713731449,0.3541701312982828,0.10929387724239219,0.5963191713731449,3.7159918262413343,13,0.0905610932407796,0.3541701312982828,3.0790771701865074,11,0.0031606541674444205,0.010576399862574568,0.10746224169311029,5,6.902531238120952,Flu
Florida,22-23,ridge_with_intercept,34,0.0014834651355967177,0.07510298452005808,0.9262534085079466,0.045862643671662894,0.2940310511315742,0.9262534085079466,9.997055738473524,12,0.01597221748190934,0.045862643671662894,0.5430553943849176,2,0.02057942550856437,0.07510298452005808,0.6997004672911888,19,11.23981160014963,Flu
Hawaii,22-23,ridge_with_intercept,34,0.10421366185845793,7.676758422761813e-4,0.7807869272443622,0.1928604217222573,0.2581469383367501,0.7807869272443622,8.776995903449505,31,0.032096427509860505,0.1928604217222573,1.0912785353352574,28,3.072715332581862e-4,7.676758422761813e-4,0.01044723213077833,7,9.87872167091554,Flu
Illinois,22-23,ridge_with_intercept,34,0.04020935378543378,0.31809635906106604,0.6701652374040301,0.14525650820777458,0.11943794891111774,0.6701652374040301,4.060890262978004,17,0.03572961520299518,0.14525650820777458,1.2148069169018363,16,0.14168055251647416,0.31809635906106604,4.817138785560121,30,10.092835965439962,Flu
Iowa,22-23,ridge_with_intercept,34,0.011432913727187771,0.10811881443722307,0.6711545764838145,0.11845181723629031,0.10700147332685375,0.6711545764838145,3.6380500931130273,28,0.033833805262628164,0.11845181723629031,1.150349378929358,27,0.06301382166552531,0.10811881443722307,2.1424699366278603,15,6.930869408670246,Flu
Montana,22-23,ridge_with_intercept,34,0.060126207429722495,0.04943174086482958,0.8938033587250883,1.0177033930362444e-5,0.16609447441549102,0.8938033587250883,5.647212130126694,20,2.7506647325024783e-6,1.0177033930362444e-5,9.352260090508425e-5,5,0.030344526018724234,0.04943174086482958,1.0317138846366238,32,6.679019537364223,Flu
Nevada,22-23,ridge_with_intercept,34,0.0031542161233090726,0.3400334689936214,0.5880702456446476,0.0634512523794241,0.12051152947448887,0.5880702456446476,4.097392002132621,5,0.016642231592942376,0.0634512523794241,0.5658358741600409,15,0.1254308481763203,0.3400334689936214,4.264648837994891,15,8.927876714287553,Flu
New Jersey,22-23,ridge_with_intercept,34,0.06717301323233502,0.05393354392912434,0.7724750651729175,0.20568658775109647,0.15406610195792034,0.7724750651729175,5.23824746656929,12,0.050360312635652875,0.20568658775109647,1.7122506296121978,11,0.020703698151291645,0.05393354392912434,0.703925737143916,31,7.654423833325405,Flu
New York,22-23,ridge_with_intercept,34,0.06930911871599263,0.1879443984911517,0.5526510244964474,0.10935540293071931,0.11690573356566769,0.5526510244964474,3.974794941232701,4,0.024197663375269116,0.10935540293071931,0.8227205547591501,18,0.07735320689322733,0.1879443984911517,2.6300090343697287,6,7.42752453036158,Flu
Oregon,22-23,ridge_with_intercept,34,0.07677556295297233,0.02987001180102593,0.7268422434653613,0.17115275720962503,0.12753651696997334,0.7268422434653613,4.336241576979093,3,0.04563902304344293,0.17115275720962503,1.5517267834770596,2,0.014900174324170746,0.02987001180102593,0.5066059270218054,21,6.394574287477958,Flu
Pennsylvania,22-23,ridge_with_intercept,34,0.040685681430034315,0.12910730923523236,0.7792967634319475,0.20107241939359782,0.15727946670151902,0.7792967634319475,5.347501867851646,26,0.04433462772761058,0.20107241939359782,1.5073773427387591,3,0.05731634183306277,0.12910730923523236,1.9487556223241342,12,8.80363483291454,Flu
Vermont,22-23,ridge_with_intercept,34,0.013899016360642585,0.03430231107770813,0.6933208983710342,0.03320418138946997,0.109413097778029,0.6933208983710342,3.7200453244529874,18,0.008274006111708315,0.03320418138946997,0.28131620779808275,31,0.01591024506059072,0.03430231107770813,0.5409483320600846,16,4.542309864311155,Flu
Wyoming,22-23,ridge_with_intercept,34,0.07210601754419493,0.02861723431390167,0.06792656216800344,0.7652462704504857,0.013992871806608709,0.06792656216800344,0.47575764142469606,19,0.18678908415613835,0.7652462704504857,6.350828861308703,20,0.010886608979994376,0.02861723431390167,0.3701447053198088,19,7.196731208053208,RSV
Alaska,22-23,ridge_with_intercept,34,0.18538157728512253,0,0.8247509844436482,0,0.16893533820011702,0.8247509844436482,5.743801498803978,4,0,0,0,1,0,0,0,1,5.743801498803978,Flu
Delaware,22-23,ridge_with_intercept,34,0.03599047599445221,0.19684185553663452,0.8280896530344556,0.07556014798199584,0.1780235056036832,0.8280896530344556,6.05279919052523,26,0.016620848417946348,0.07556014798199584,0.565108846210176,25,0.07232677804758694,0.19684185553663452,2.4591104536179555,8,9.07701849035336,Flu
Georgia,22-23,ridge_with_intercept,34,0.019526006386063943,0.06944488165588944,0.8807487965637749,0.18172193879782808,0.1919906444785954,0.8807487965637749,6.527681912272244,7,0.045224916895387074,0.18172193879782808,1.5376471744431606,1,0.017230114218477338,0.06944488165588944,0.5858238834282296,28,8.651152970143634,Flu
