week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-01,Arizona,22-23,1.63,0.17,0.21,0.971223,0,0,0.14285714285714285,0.1379310344827586,0.4600014411834876,0.16151533478490834,0.4709280431933641,0,0.023073619254986903,0.06495559216460194
2022-11-12,Arizona,22-23,3.92,2.12,1.31,3.60994,0.5947333296219556,0.3181076672104405,0.9285714285714287,0.5766283524904214,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.1463299853683199,0.14997852515741492,0.2715504616881276
2022-12-10,Arizona,22-23,5.13,6.3,1.03,5.36996,0.9914195050629878,1,0.7285714285714286,0.8084291187739463,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.4600014411834876,0.11767545820043324,0.38071194296475025
2023-01-28,Arizona,22-23,1.52,0.5,0.23,1.55686,0.13199514876351393,0.05383360522022838,0.15714285714285717,0.11685823754789272,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.024763535985407977,0.0253809811804856,0.05503182113945443
2023-04-15,Arizona,22-23,1.72,0.39,0.03,1.40551,0.09788277921487235,0.03588907014681893,0.014285714285714285,0.15517241379310345,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.016509023990271987,0.0023073619254986907,0.0730750411851772
2023-04-29,Arizona,22-23,1.47,0.49,0.03,1.34099,0.08334078989687853,0.05220228384991843,0.014285714285714285,0.10727969348659003,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.02401312580403198,0.0023073619254986907,0.05052101612802373
2022-10-08,Arizona,22-23,1.61,0.2,0.26,1.33466,0.08191408821704438,0.004893964110929853,0.17857142857142858,0.13409961685823757,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.0022512305441279978,0.028842024068733634,0.06315127016002968
2022-12-17,Arizona,22-23,4.13,4.94,0.82,4.17597,0.7223093093749627,0.7781402936378468,0.5785714285714285,0.6168582375478927,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.35794565651635174,0.09344815798269696,0.2904958427361365
2022-12-31,Arizona,22-23,3.61,4.02,0.63,3.90219,0.6606027713173009,0.6280587275693311,0.4428571428571429,0.5172413793103448,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.2889079198297598,0.07152821969045942,0.24358347061725727
2023-01-21,Arizona,22-23,1.6,0.58,0.28,1.42827,0.103012594417562,0.06688417618270798,0.1928571428571429,0.13218390804597702,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.030766817436415968,0.03114938599423233,0.06224910915774354
2023-02-04,Arizona,22-23,1.53,0.38,0.18,1.73303,0.17170163137589717,0.03425774877650897,0.12142857142857143,0.11877394636015326,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.015758613808895986,0.01961257636673887,0.05593398214174057
