region,geography,rsv_season,rate_before_ACIP_per_100k,rate_during_ACIP_per_100k,rate_after_ACIP_per_100k,rate_total_per_100k
Midwest,Illinois,2023-24,31.312,716.4679999999998,16.892,764.6719999999999
Midwest,Illinois,2024-25,23.072000000000006,631.1840000000001,23.484,677.7399999999999
Midwest,Indiana,2023-24,31.80100000000001,712.558,15.631000000000002,759.9899999999999
Midwest,Indiana,2024-25,21.021000000000008,622.0060000000001,27.489,670.5160000000001
Midwest,Iowa,2023-24,45.279,879.6510000000001,41.022,965.9520000000001
Midwest,Iowa,2024-25,27.090000000000003,636.228,45.279,708.5970000000001
Midwest,Kansas,2023-24,20.424000000000003,601.176,18.648000000000003,640.248
Midwest,Kansas,2024-25,25.752000000000002,518.592,30.636000000000003,574.9800000000001
Midwest,Michigan,2023-24,14.208,579.4200000000001,13.320000000000002,606.9480000000001
Midwest,Michigan,2024-25,23.087999999999997,634.92,38.18399999999999,696.192
Midwest,Minnesota,2023-24,19.359999999999996,774.4000000000001,23.936000000000003,817.6960000000003
Midwest,Minnesota,2024-25,19.00800000000001,547.0079999999999,33.791999999999994,599.8079999999999
Midwest,Nebraska,2023-24,19.440000000000005,582.228,26.244,627.912
Midwest,Nebraska,2024-25,19.926000000000002,351.864,35.478,407.26800000000003
Midwest,North Dakota,2023-24,51.417,748.2059999999999,42.55200000000001,842.1749999999998
Midwest,North Dakota,2024-25,23.049000000000003,509.4419999999999,68.55600000000001,601.0469999999999
Midwest,Ohio,2023-24,14.065999999999999,512.3269999999999,10.82,537.2129999999999
Midwest,Ohio,2024-25,17.312,492.85100000000006,20.558,530.721
Midwest,South Dakota,2023-24,22.2,625.3,59.93999999999999,707.4399999999999
Midwest,South Dakota,2024-25,33.300000000000004,517.26,79.17999999999999,629.7399999999999
Midwest,Wisconsin,2023-24,12.287999999999998,605.1839999999997,18.816,636.2879999999999
Midwest,Wisconsin,2024-25,16.896,475.77599999999995,37.248000000000005,529.9199999999998
National,United States,2023-24,NA,NA,NA,NA
National,United States,2024-25,NA,NA,NA,NA
Northeast,Connecticut,2023-24,8.658,423.28000000000003,2.8860000000000006,434.82400000000007
Northeast,Connecticut,2024-25,14.430000000000003,413.179,9.620000000000001,437.229
Northeast,Maine,2023-24,9.434999999999999,623.82,13.319999999999999,646.5750000000002
Northeast,Maine,2024-25,26.085,456.76499999999993,42.73500000000001,525.5849999999999
Northeast,Massachusetts,2023-24,37.84000000000001,750.651,9.933,798.424
Northeast,Massachusetts,2024-25,22.231000000000005,717.5409999999999,19.866000000000003,759.638
Northeast,New Hampshire,2023-24,13.826000000000002,598.0860000000001,13.38,625.292
Northeast,New Hampshire,2024-25,15.164000000000003,687.732,32.55799999999999,735.4540000000002
Northeast,New Jersey,2023-24,16.974000000000004,374.16600000000005,5.166,396.30600000000015
Northeast,New Jersey,2024-25,20.295000000000012,432.4680000000001,9.963000000000001,462.7260000000001
Northeast,New York,2023-24,16.272000000000006,469.176,6.780000000000001,492.22799999999995
Northeast,New York,2024-25,18.984000000000005,404.088,12.204,435.27599999999995
Northeast,Pennsylvania,2023-24,13.203000000000003,587.2890000000001,6.846000000000002,607.3380000000002
Northeast,Pennsylvania,2024-25,14.670000000000003,522.741,20.538,557.949
Northeast,Rhode Island,2023-24,20.416000000000004,522.4639999999999,4.176,547.0559999999999
Northeast,Rhode Island,2024-25,12.527999999999999,399.96800000000013,11.136000000000001,423.63200000000006
Northeast,Vermont,2023-24,10.536000000000001,863.952,22.828,897.3159999999997
Northeast,Vermont,2024-25,32.92500000000001,580.3580000000001,44.778,658.0609999999999
South,Alabama,2023-24,59.89800000000002,652.0439999999998,9.246,721.1879999999996
South,Alabama,2024-25,55.87800000000003,611.04,16.884,683.8020000000001
South,Arkansas,2023-24,36.348000000000006,1055.49,7.922000000000001,1099.7600000000002
South,Arkansas,2024-25,48.464000000000034,837.4020000000003,18.174,904.0400000000004
South,Delaware,2023-24,43.362000000000016,927.246,12.264000000000001,982.8720000000001
South,Delaware,2024-25,37.23000000000001,893.5199999999998,21.462,952.2119999999995
South,District of Columbia,2023-24,95.00000000000003,893.5,8.5,997.0000000000003
South,District of Columbia,2024-25,25,715.4999999999998,7.999999999999999,748.5
South,Florida,2023-24,153.335,469.10499999999996,9.555,631.995
South,Florida,2024-25,92.36500000000004,509.1449999999999,19.109999999999996,620.62
South,Georgia,2023-24,70.56000000000002,344.96000000000004,6.664,422.1840000000001
South,Georgia,2024-25,28.61600000000001,407.67999999999995,8.624000000000002,444.91999999999996
South,Kentucky,2023-24,56.54000000000002,1080.4279999999999,11.822000000000001,1148.79
South,Kentucky,2024-25,55.51200000000001,752.496,38.55,846.558
South,Louisiana,2023-24,83.049,826.3670000000003,7.656999999999999,917.073
South,Louisiana,2024-25,41.23000000000002,845.8039999999999,16.492,903.526
South,Maryland,2023-24,24.846000000000004,480.55800000000005,4.848000000000001,510.252
South,Maryland,2024-25,19.998000000000005,404.505,8.181000000000001,432.6839999999999
South,Mississippi,2023-24,123.606,733.6979999999999,8.504999999999999,865.8089999999999
South,Mississippi,2024-25,58.96800000000001,725.193,17.01,801.171
South,North Carolina,2023-24,30.672,752.5440000000003,9.504,792.7200000000003
South,North Carolina,2024-25,30.672,775.0079999999998,27.216,832.8959999999998
South,Oklahoma,2023-24,17.917000000000005,735.034,12.673000000000004,765.6239999999998
South,Oklahoma,2024-25,17.043000000000006,801.8949999999999,23.161,842.0989999999999
South,South Carolina,2023-24,56.430000000000014,523.754,6.688000000000001,586.8720000000001
South,South Carolina,2024-25,26.75200000000001,492.4039999999998,15.466,534.6219999999998
South,Tennessee,2023-24,77.68800000000003,819.9359999999999,13.104000000000003,910.7279999999998
South,Tennessee,2024-25,41.65200000000002,719.7840000000001,17.784000000000002,779.2200000000001
South,Texas,2023-24,79.87200000000004,683.0719999999999,9.568,772.5120000000001
South,Texas,2024-25,43.68000000000003,669.7600000000003,13.728000000000002,727.1680000000002
South,Virginia,2023-24,40.326000000000015,503.2169999999999,6.005999999999999,549.549
South,Virginia,2024-25,25.311000000000007,443.58599999999996,16.731000000000005,485.62800000000004
South,West Virginia,2023-24,41.124,1652.7080000000003,25.628,1719.4600000000005
South,West Virginia,2024-25,76.28800000000001,1251.6000000000004,141.25199999999998,1469.14
West,Alaska,2023-24,24.510000000000005,552.636,13.416,590.562
West,Alaska,2024-25,25.542000000000012,487.104,15.996,528.642
West,Arizona,2023-24,13.207000000000006,304.323,7.024999999999999,324.555
West,Arizona,2024-25,8.430000000000001,219.17999999999998,10.397,238.00699999999992
West,California,2023-24,13.148000000000003,359.494,5.882,378.524
West,California,2024-25,13.840000000000005,272.64799999999997,12.11,298.59799999999996
West,Colorado,2023-24,14.724000000000004,515.749,16.36,546.8330000000001
West,Colorado,2024-25,20.859,460.53399999999993,34.355999999999995,515.7489999999999
West,Hawaii,2023-24,37.962,333,3.663,374.62500000000006
West,Hawaii,2024-25,47.95200000000001,351.6480000000001,17.649,417.249
West,Idaho,2023-24,16.28,569.393,22.791999999999998,608.4650000000001
West,Idaho,2024-25,34.18800000000002,561.66,39.479,635.327
West,Montana,2023-24,20.564,538.932,44.620000000000005,604.116
West,Montana,2024-25,30.652000000000008,535.44,75.66000000000001,641.7520000000001
West,Nevada,2023-24,8.814,259.448,5.198,273.46
West,Nevada,2024-25,8.814000000000002,246.566,8.362,263.7420000000001
West,New Mexico,2023-24,17.688,1011.4319999999998,18.492,1047.6119999999999
West,New Mexico,2024-25,18.492,676.968,37.788,733.2480000000002
West,Oregon,2023-24,13.124000000000002,461.65599999999995,13.509999999999998,488.2899999999999
West,Oregon,2024-25,17.756000000000004,508.7480000000001,29.336,555.84
West,Utah,2023-24,12.628000000000002,496.79700000000014,13.489,522.914
West,Utah,2024-25,13.489,394.62499999999994,22.099,430.21299999999997
West,Washington,2023-24,12.443999999999999,577.1819999999999,10.613999999999999,600.24
West,Washington,2024-25,20.496000000000002,495.198,25.253999999999998,540.948
West,Wyoming,2023-24,40.18800000000001,570.5120000000001,38.217999999999996,648.9179999999999
West,Wyoming,2024-25,7.091999999999999,0,0,7.091999999999999
